City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,guiratinga,-16.3494,-53.7583,21.670000000000016,89,100,2.89,BR,1730932802
295,wanning,18.8003,110.3967,22.82000000000005,86,96,4.58,CN,1730932803
296,punta arenas,-53.15,-70.9167,9.060000000000002,57,40,8.75,CL,1730932804
297,ulladulla,-35.35,150.4667,19.860000000000014,74,100,4.37,AU,1730932805
298,queenstown,-31.8976,26.8753,8.57000000000005,80,50,1.79,ZA,1730932806
299,port lincoln,-34.7333,135.8667,16.970000000000027,57,56,10.34,AU,1730932807
300,gewane,10.1664,40.6453,26.340000000000032,47,47,2.26,ET,1730932808
301,capitao poco,-1.7464,-47.0594,25.860000000000014,75,96,4.23,BR,1730932809
302,kushikino,31.7167,130.2667,12.800000000000011,67,0,2.35,JP,1730932810
303,mili,6.0815,171.735,28.120000000000005,76,100,5.75,MH,1730932811
304,benguela,-12.5763,13.4055,24.230000000000018,82,70,2.78,AO,1730932814
305,lushun,38.8,121.2667,3.1200000000000045,58,4,4.58,CN,1730932815
306,sorsk,54.0033,90.2467,-0.2999999999999545,98,100,3.25,RU,1730932816
307,saint-denis,48.9167,2.3333,10.600000000000023,97,100,3.6,FR,1730932817
308,jagdalpur,19.0667,82.0333,16.970000000000027,91,57,1.38,IN,1730932818
309,saint-francois,46.4154,3.9054,11.900000000000034,94,73,1.03,FR,1730932819
310,new norfolk,-42.7826,147.0587,16.620000000000005,42,6,2.31,AU,1730932820
311,broome,42.2506,-75.833,20.210000000000036,66,75,5.14,US,1730932821
312,qeshm,26.9581,56.2719,27.29000000000002,67,0,1.44,IR,1730932822
313,chui,-33.6971,-53.4616,15.590000000000032,94,30,2.45,UY,1730932823
314,enoch,37.7733,-113.0244,3.140000000000043,45,0,8.23,US,1730932576
315,bom jesus,-9.0744,-44.3586,27.400000000000034,52,97,0.54,BR,1730932826
316,nuku'alofa,-21.1333,-175.2,24.189999999999998,83,20,5.66,TO,1730932827
317,gamba,-2.65,10.0,24.75,92,43,2.51,GA,1730932829
318,lincoln city,44.9582,-124.0179,14.270000000000039,77,0,3.13,US,1730932788
319,palmares do sul,-30.2578,-50.5097,22.230000000000018,92,81,7.16,BR,1730932832
320,peace river,56.2501,-117.286,11.170000000000016,62,0,8.23,CA,1730932833
321,itacoatiara,-3.1431,-58.4442,29.55000000000001,53,67,0.92,BR,1730932835
